epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.797,0.91115,1.61119,1.10706,0.91429,0.81779,0.8955,0.72482,0.63769,0.74694,0.94822,0.000475952,0.000475952,0.000475952
1,160.114,0.91115,1.61119,1.10706,0.91429,0.81779,0.8955,0.72482,0.63769,0.74694,0.94822,0.000475952,0.000475952,0.000475952
2,314.393,0.90731,0.93955,1.09573,0.88872,0.81749,0.89464,0.75572,0.61625,0.60122,0.94037,0.000914575,0.000914575,0.000914575
3,475.804,0.88041,0.83141,1.07468,0.92457,0.84066,0.91528,0.77085,0.60296,0.56685,0.93602,0.00131547,0.00131547,0.00131547
4,640.993,0.84183,0.75201,1.05471,0.88249,0.88702,0.92615,0.78658,0.55913,0.49945,0.91684,0.00125923,0.00125923,0.00125923
5,786.7,0.8095,0.69792,1.04544,0.93495,0.87844,0.92987,0.79269,0.54396,0.48037,0.91235,0.00120265,0.00120265,0.00120265
6,930.367,0.78108,0.65573,1.0247,0.92386,0.89356,0.94137,0.80674,0.52551,0.44016,0.89593,0.00114606,0.00114606,0.00114606
7,1073.37,0.75137,0.6159,1.01249,0.93443,0.89338,0.95269,0.83127,0.49201,0.39918,0.88182,0.00108947,0.00108947,0.00108947
8,1214.77,0.7411,0.59653,1.01142,0.94692,0.91063,0.95457,0.83249,0.49644,0.38643,0.88142,0.00103288,0.00103288,0.00103288
9,1356.46,0.71782,0.5712,0.99702,0.9396,0.9252,0.95842,0.83188,0.48817,0.39241,0.89122,0.000976293,0.000976293,0.000976293
10,1513.07,0.70472,0.54314,0.99098,0.94744,0.89345,0.95348,0.83513,0.47474,0.38355,0.87888,0.000919704,0.000919704,0.000919704
11,1672.41,0.68193,0.51869,0.98067,0.94592,0.92719,0.96599,0.85683,0.43982,0.34573,0.86179,0.000863116,0.000863116,0.000863116
12,1838.11,0.68965,0.51333,0.9827,0.9466,0.93026,0.96508,0.85389,0.4421,0.33198,0.86739,0.000806528,0.000806528,0.000806528
13,2004.48,0.66226,0.49608,0.97272,0.95536,0.93221,0.96635,0.85665,0.43705,0.32333,0.8716,0.000749939,0.000749939,0.000749939
14,2167.82,0.65297,0.47865,0.96453,0.96692,0.93402,0.96967,0.86269,0.43096,0.3159,0.86999,0.000693351,0.000693351,0.000693351
15,2337.58,0.64883,0.4637,0.96568,0.9568,0.93768,0.96876,0.86956,0.41449,0.30672,0.85486,0.000636762,0.000636762,0.000636762
16,2509.75,0.58556,0.39111,0.9072,0.95994,0.93332,0.96916,0.86405,0.43055,0.31735,0.86724,0.000580174,0.000580174,0.000580174
17,2665.03,0.57495,0.38076,0.89703,0.94453,0.94803,0.97317,0.87275,0.42308,0.30396,0.86402,0.000523586,0.000523586,0.000523586
18,2819.97,0.56417,0.36779,0.89786,0.95388,0.93955,0.97388,0.87777,0.41389,0.29996,0.85676,0.000466997,0.000466997,0.000466997
19,2974.85,0.54385,0.35171,0.88974,0.97433,0.92878,0.97357,0.87587,0.4041,0.29473,0.85598,0.000410409,0.000410409,0.000410409
20,3130.17,0.53836,0.34058,0.88571,0.9584,0.94042,0.97709,0.88054,0.39842,0.29471,0.85058,0.00035382,0.00035382,0.00035382
21,3285.48,0.52896,0.32918,0.87933,0.97148,0.94601,0.97664,0.88558,0.38486,0.27574,0.84712,0.000297232,0.000297232,0.000297232
22,3443.2,0.51166,0.31492,0.8734,0.96474,0.94505,0.97601,0.88334,0.38704,0.26756,0.85525,0.000240644,0.000240644,0.000240644
23,3598.96,0.50141,0.30245,0.87033,0.97373,0.94143,0.97608,0.88686,0.37552,0.2682,0.8457,0.000184055,0.000184055,0.000184055
24,3754.1,0.49248,0.29246,0.86466,0.97434,0.93815,0.97681,0.89003,0.3635,0.26291,0.83877,0.000127467,0.000127467,0.000127467
25,3909.41,0.47998,0.28265,0.85653,0.97222,0.9412,0.97878,0.89256,0.36107,0.26009,0.83796,7.08784e-05,7.08784e-05,7.08784e-05
